Year,GLOBAL,INEQTY,REV,DGOV,GDP,POP,URB,GEDU,TRADE,LABOR,GEDUtm1
2525,43.46,4.26,13.90,0,0.82,2.03,3.04,6.40,4.54,10.40,7.10
2526,42.09,4.62,13.60,0,0.91,1.36,-2.15,6.30,4.97,10.20,6.40
2527,43.19,4.49,13.60,0,0.97,2.16,2.50,6.30,9.47,10.10,6.30
2528,43.82,5.01,13.80,0,1.01,2.40,3.77,6.40,3.78,10.14,6.30
2529,43.34,4.76,13.80,0,1.09,2.27,2.19,6.40,6.25,10.14,6.40
2530,50.60,5.02,13.90,0,1.23,1.71,2.14,6.50,14.21,10.90,6.40
2531,60.83,5.15,13.90,1,1.46,2.02,3.27,6.50,3.00,10.90,6.50
2532,66.39,6.01,14.00,1,1.69,1.69,2.55,6.60,8.75,10.90,6.50
2533,70.34,7.70,15.50,1,2.91,0.74,-2.54,7.20,14.18,11.40,6.60
2534,71.70,8.23,16.00,0,2.50,1.17,1.01,8.00,7.72,12.10,7.20
2535,72.52,9.01,16.10,1,2.83,1.45,1.85,8.10,4.67,12.20,8.00
2536,80.20,9.51,16.50,1,3.17,0.95,0.57,8.50,10.12,12.30,8.10
2537,82.60,9.56,16.70,1,3.63,1.30,4.21,8.70,8.38,12.50,8.50
2538,90.40,9.64,16.90,1,4.18,0.62,1.28,8.90,4.74,12.60,8.70
2539,84.80,9.75,16.00,1,4.61,1.10,1.82,8.00,2.86,12.00,8.90
2540,94.60,9.75,16.90,1,4.73,1.16,1.83,9.60,5.09,13.50,8.00
2541,101.90,8.70,16.00,1,4.62,1.07,1.35,9.60,0.66,13.40,9.60
2542,104.00,8.90,16.30,1,4.63,0.32,0.21,9.70,0.00,13.60,9.60
2543,124.90,8.71,16.60,1,4.92,0.35,0.17,9.80,8.53,13.80,9.70
2544,125.30,8.61,16.60,1,5.13,0.70,5.85,9.80,1.61,13.80,9.80
2545,121.70,9.00,16.40,1,5.44,1.67,6.08,9.60,5.95,13.20,9.80
2546,124.60,8.61,17.00,1,5.93,1.56,6.15,10.00,7.86,14.00,9.60
2547,136.50,8.70,17.10,1,5.79,0.76,6.04,10.10,4.69,14.10,10.00
2548,148.30,8.74,17.20,1,6.32,0.59,6.80,10.20,4.31,14.20,10.10
2549,143.90,8.38,17.10,1,6.96,0.45,7.66,10.10,-2.23,14.10,10.20
2550,138.50,8.29,16.80,0,7.60,0.41,8.28,9.80,5.04,13.80,10.10
